Project name,Classname,Line,Bugyy code,Fixed code,Type,Ratio (FL),Bug Type,,Fixed,Context,,Th“?ng kˆ,,
82775,Board,(23-23;23-27),"
","
    /**
     * Th?m cbdj.
     * @param piece quan.
     */
",INSERT,0.35355338,,,NO,,,,,
81733,Move,(96-97;96-97),"                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[endX]
","                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[endX - 1]
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,CLASS,,,,
81733,Bishop,(18-18;18-22),"        boolean check = true;
","        boolean check = true;
        int dx = 0;
        int dy = 0;
        int ox = this.getCoordinatesX();
        int oy = this.getCoordinatesY();
",INSERT,0.35355338,INSERT_CODE,,YES,,,,,
81708,Move,(96-98;96-98),"                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[movedPiece.getCoordinatesX()]
                + movedPiece.getCoordinatesY();
","                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[endX - 1]
                + endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
,,,,,,,CHANGE_OPERATOR,,YES,,,,,
81688,Board,(7-7;7-13),"
","
    /**
     * Check vi tri.
     * @param x toa do tai x.
     * @param y toa do tai y.
     * @return check.
     */
",INSERT,null,,,NO,,,,,
81688,Board,(17-17;23-27),"
","
    /**
     * Th?m cbdj.
     * @param piece quan.
     */
",INSERT,null,,,NO,,,,,
81688,Board,(21-21;33-39),"
","
    /**
     * lay piece tai x,y.
     * @param x toa do x.
     * @param y toa do y.
     * @return piece.
     */
",INSERT,null,,,NO,,,,,
81688,Move,(9-9;9-17),"
","
    /**
     * di chuyen.
     * @param startX x bat dau.
     * @param startY y bat dau.
     * @param endX x den.
     * @param endY y den.
     * @param movedPiece quan di chuyen.
     */
",INSERT,null,,,NO,,,,,
81688,Move,(17-17;25-34),"
","
    /**
     * di chuyen.
     * @param startX x bat dau.
     * @param startY y bat dau.
     * @param endX x den.
     * @param endY y den.
     * @param movedPiece quan di chuyen.
     * @param killedPiece quan bi ha.
     */
",INSERT,null,,,NO,,,,,
81688,Move,(79-81;96-98),"                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[movedPiece.getCoordinatesX()]
                + movedPiece.getCoordinatesY();
","                + ""-"" + movedPiece.getSymbol()
                + symbolAtX[endX - 1]
                + endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
,,,,,,,CHANGE_OPERATOR,,YES,,,,,
81688,Piece,(5-5;5-10),"
","
    /**
     * khoi tao.
     * @param coordinatesX x.
     * @param coordinatesY y.
     */
",INSERT,null,,,NO,,,,,
81688,Piece,(14-14;14-20),"
","
    /**
     * khoi tao.
     * @param coordinatesX x.
     * @param coordinatesY y.
     * @param color mau.
     */
",INSERT,null,,,NO,,,,,
82707,Board,(11-11;11-16),"
","
    /**
     * ham them quan co vao ban co.
     *
     * @param p la tham so.
     */
",INSERT,0.35355338,,,NO,,,,,
82707,Board,(18-18;23-29),"
","
    /**
     * kiem tra toa do.
     * @param x .
     * @param y .
     * @return .
     */
",INSERT,null,,,NO,,,,,
82707,Board,(23-23;34-39),"
","
    /**
     * xoa quan co.
     * @param x .
     * @param y .
     */
",INSERT,0.35355338,,,NO,,,,,
82707,Board,(30-30;46-52),"
","
    /**
     * lay quan co.
     * @param x .
     * @param y .
     * @return .
     */
",INSERT,null,,,NO,,,,,
81796,Board,(28-28;46-52),"
","
    /**
     * lay quan co.
     * @param x .
     * @param y .
     * @return .
     */
",INSERT,null,,,NO,,,,,
81796,Piece,(5-5;5-10),"
","
    /**
     * ham khoi tao co tham so.
     * @param coordinatesX .
     * @param coordinatesY .
     */
",INSERT,null,,,NO,,,,,
81796,Piece,(15-15;20-26),"
","
    /**
     * ham khoi tao co tham so.
     * @param coordinatesX .
     * @param coordinatesY .
     * @param color .
     */
",INSERT,null,,,NO,,,,,
81796,Move,(8-8;8-16),"
","
    /**
     * ham khoi tao co tham so.
     * @param startX .
     * @param startY .
     * @param endX .
     * @param endY .
     * @param movedPiece .
     */
",INSERT,null,,,NO,,,,,
81796,Move,(16-16;24-33),"
","
    /**
     * ham khoi tao co tham so.
     * @param startX .
     * @param startY .
     * @param endX .
     * @param endY .
     * @param movedPiece .
     * @param killedPiece .
     */
",INSERT,null,,,NO,,,,,
81796,Move,(29-30;46-47),"                + movedPiece.getSymbol()
                + (char) ('a' + endX) + endY;
","                + movedPiece.getSymbol()
                + (char) ('a' + endX - 1) + endY;
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,,,,,
81746,Move,(29-31;46-47),"                + movedPiece.getSymbol()
                + ('a' + movedPiece.getCoordinatesY())
                + movedPiece.getCoordinatesX();
","                + movedPiece.getSymbol()
                + (char) ('a' + endX - 1) + endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
81846,Board,(10-10;10-14),"
","
    /**
     * addPiece.
     * @param piece piece
     */
",INSERT,null,,,NO,,,,,
81846,Board,(21-21;25-31),"
","
    /**
     * remove piece on board.
     * @param x coordinate x
     * @param y coordinate y
     */

",INSERT,null,,,NO,,,,,
81846,Board,(31-31;37-44),"
","
    /**
     * get piece on board.
     * @param x coordinate x
     * @param y coordinate y
     * @return
     */

",INSERT,0.35355338,,,NO,,,,,
81846,Piece,(8-8;8-15),"
","
    /**
     * constructor.
     * @param coordinatesX coordinate x
     * @param coordinatesY coordinate y
     * @param color color
     */

",INSERT,null,,,NO,,,,,
81846,Move,(9-9;9-18),"
","
    /**
     * constructor.
     * @param startX start X
     * @param startY start Y
     * @param endX end X
     * @param endY end Y
     * @param movedPiece movedPiece
     */

",INSERT,null,,,NO,,,,,
81846,Move,(17-17;26-35),"
","
    /**
     * constructor.
     * @param startX start X
     * @param startY start Y
     * @param endX end X
     * @param endY end Y
     * @param movedPiece movedPiece
     * @param killedPiece killedPiece
     */
",INSERT,null,,,NO,,,,,
81846,Move,(26-28;44-51),"
    public String toString(){
        char c = (char) (endX + 'a');
","
    /**
     * to string.
     * @return string
     */

    public String toString() {
        char c = (char) (endX + 'a' - 1);
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,CLASS,,,,
81846,Bishop,(17-17;17-20),"    public boolean canMove(Board board, int x, int y) {
","    public boolean canMove(Board board, int x, int y) {
        if (board == null) {
            return false;
        }
",INSERT,null,INSERT_CODE,,YES,CLASS,,,,
81841,Board,(23-23;23-29),"
","
    /**
     * check if there is a duplicated piece in the x,y position.
     * @param x x axis of piece
     * @param y y axis of piece
     * @return if the piece is in the list or not
     */
",INSERT,null,,,NO,,,,,
81841,Move,(8-8;8-16),"
","
    /**
     * Move constructer with start,end and moved piece.
     * @param startX startX
     * @param startY startY
     * @param endX endX
     * @param endY endY
     * @param movedPiece moved piece
     */
",INSERT,null,,,NO,,,,,
81841,Move,(16-16;24-33),"
","
    /**
     * Move constructer with start,end, moved piece and killed piece.
     * @param startX startX
     * @param startY startY
     * @param endX endX
     * @param endY endY
     * @param movedPiece movedPiece
     * @param killedPiece killedPiece
     */
",INSERT,0.35355338,,,NO,,,,,
,,,,,,,REPLACE_VAR,,YES,CLASS,,,,
81841,Move,(75-77;92-97),"    public String toString() {
        char c = (char) (endX + 'a');
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol() + c + movedPiece.getCoordinatesY();
","    public String toString() {
        char c = (char) (endX + 'a' - 1);
        return movedPiece.getColor()
                + ""-"" + movedPiece.getSymbol()
                + c
                + endY;
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,CLASS,,,,
81841,Piece,(45-45;45-46),"    public abstract String getSymbol();
","    public abstract String getSymbol();

",INSERT,null,,,NO,,,,,
81899,Board,(11-11;11-16),"
","
    /**
     * add.
     *
     * @param piece pi
     */
",INSERT,null,,,NO,,,,,
81899,Board,(26-26;32-38),"
","
    /**
     * remove pi.
     *
     * @param x x
     * @param y y
     */
",INSERT,0.35355338,,,NO,,,,,
81899,Board,(43-43;55-62),"
","
    /**
     * get pi.
     *
     * @param x x
     * @param y y
     * @return pi
     */
",INSERT,null,,,NO,,,,,
81868,Move,(8-8;8-17),"
","
    /**
     * Constructor.
     *
     * @param startX     startX
     * @param startY     startY
     * @param endX       endX
     * @param endY       endY
     * @param movedPiece movedPiece
     */
",INSERT,null,,,NO,,,,,
81868,Move,(70-71;79-81),"    public String toString() {
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol() + (char) ('h' - 8 + movedPiece.getCoordinatesX()) + movedPiece.getCoordinatesY();
","    public String toString() {
        return movedPiece.getColor() + ""-""
                + movedPiece.getSymbol() + (char) ('h' - 8 + endX) + endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
81845,Board,(19-19;32-38),"
","
    /**
     * remove pi.
     *
     * @param x x
     * @param y y
     */
",INSERT,null,,,NO,,,,,
81845,Board,(42-42;55-62),"
","
    /**
     * get pi.
     *
     * @param x x
     * @param y y
     * @return pi
     */
",INSERT,null,,,NO,,,,,
82915,SavingsAccount,(18-19;18-19),"      addTransaction(
          new Transaction(Transaction.TYPE_WITHDRAW_CHECKING, amount, initialBalance, getBalance())
","      addTransaction(
          new Transaction(Transaction.TYPE_WITHDRAW_SAVINGS, amount, initialBalance, getBalance())
",REPLACE,0.4082483,REPLACE_VAR,,YES,CLASS,,,,
82913,Bank,(14-14;14-18),"
","
  /**
   * aldksfjlaskdf.
   * @param inputStream dklfjasl
   */
",INSERT,0.31622776,,,NO,,,,,
82913,Bank,(50-50;54-55),"    c.forEach(customer -> sb.append(customer.getCustomerInfo()).append('n'));
","    c.forEach(customer -> sb.append(customer.getCustomerInfo()).append('n'));
    sb.deleteCharAt(sb.length() - 1);
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,Customer,(10-10;10-15),"
","
  /**
   * ldkjflkasjf.
   * @param idNumber d
   * @param fullName dk
   */
",INSERT,0.31622776,,,NO,,,,,
82913,Account,(13-13;13-18),"
","
  /**
   * xyz.
   * @param accountNumber xzy
   * @param balance xyz
   */
",INSERT,null,,,NO,,,,,
82913,Account,(19-19;24-27),"
","
  /**
   * xyz.
   */
",INSERT,null,,,NO,,,,,
82913,Account,(35-35;43-48),"
","
  /**
   * xyz.
   * @param amount xzy
   * @throws BankException xdkj
   */
",INSERT,null,,,NO,,,,,
82913,Account,(42-42;55-60),"
","
  /**
   * dkjaldf.
   * @param amount ddf
   * @throws BankException ddd
   */
",INSERT,null,,,NO,,,,,
82913,Account,(56-56;74-78),"
","
  /**
   * kldfjlaskdjfdlk.
   * @return asdlkfjsadkl
   */
",INSERT,null,,,NO,,,,,
82913,Account,(62-62;84-85),"    }
","    }
    builder.deleteCharAt(builder.length() - 1);
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,Transaction,(15-15;15-23),"
","
  /**
   * lkasjflksdjf.
   *
   * @param type           kdjk
   * @param amount         kdjk
   * @param initialBalance kdjk
   * @param finalBalance   kdjk
   */
",INSERT,null,,,NO,,,,,
82913,Transaction,(22-22;30-36),"
","
  /**
   * lksdjflkasjfklj.
   *
   * @param t dkfjk
   * @return lkdjflkaj
   */
",INSERT,null,,,NO,,,,,
82913,Transaction,(37-37;51-56),"
","
  /**
   * kdjflksdjflk.
   *
   * @return kasjflsdak
   */
",INSERT,null,,,NO,,,,,
82913,SavingsAccount,(17-17;17-20),"      doWithdrawing(amount);
","      doWithdrawing(amount);
      addTransaction(
          new Transaction(Transaction.TYPE_WITHDRAW_SAVINGS, amount, initialBalance, getBalance())
      );
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,SavingsAccount,(20-23;23-24),"    }
    addTransaction(
        new Transaction(Transaction.TYPE_WITHDRAW_CHECKING, amount, initialBalance, getBalance())
    );
","    }

",REPLACE,0.31622776,,,,,,,,
82913,SavingsAccount,(30-30;31-34),"      doDepositing(amount);
","      doDepositing(amount);
      addTransaction(
          new Transaction(Transaction.TYPE_DEPOSIT_SAVINGS, amount, initialBalance, getBalance())
      );
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,SavingsAccount,(33-36;37-37),"    }
    addTransaction(
        new Transaction(Transaction.TYPE_DEPOSIT_CHECKING, amount, initialBalance, getBalance())
    );
","    }
",DELETE,0.31622776,DELETE,,YES,,,,,
82913,CheckingAccount,(11-11;11-14),"      doWithdrawing(amount);
","      doWithdrawing(amount);
      addTransaction(
          new Transaction(Transaction.TYPE_WITHDRAW_CHECKING, amount, initialBalance, getBalance())
      );
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,CheckingAccount,(14-17;17-18),"    }
    addTransaction(
        new Transaction(Transaction.TYPE_WITHDRAW_CHECKING, amount, initialBalance, getBalance())
    );
","    }

",REPLACE,0.31622776,,,,,,,,
82913,CheckingAccount,(24-24;25-28),"      doDepositing(amount);
","      doDepositing(amount);
      addTransaction(
          new Transaction(Transaction.TYPE_DEPOSIT_CHECKING, amount, initialBalance, getBalance())
      );
",INSERT,null,INSERT_CODE,,YES,,,,,
82913,CheckingAccount,(27-30;31-31),"    }
    addTransaction(
        new Transaction(Transaction.TYPE_DEPOSIT_CHECKING, amount, initialBalance, getBalance())
    );
","    }
",DELETE,0.31622776,,,NO,,,,,
83998,Customer,(54-56;54-55),"    public String getCustomerInfo() {
        return ""S? CMND: "" + idNumber +
                "". H? t?n: "" + fullName + ""."";
","    public String getCustomerInfo() {
        return ""S? CMND: "" + idNumber + "". H? t?n: "" + fullName + ""."";
",REPLACE,1,,,NO,,,,,
84084,Customer,(0-100;0-87),"import java.util.ArrayList;
import java.util.List;

/**
 * class Customer.
 */
public class Customer {

    private long idNumber;
    private String fullName;
    private List<Account> accountList = new ArrayList<>();

    /**
     * constructor.
     */
    public Customer() {

    }

    /**
     * constructor.
     */
    public Customer(long idNumber, String fullName) {
        this.idNumber = idNumber;
        this.fullName = fullName;
    }

    /**
     * getter.
     * @return .
     */
    public String getCustomerInfo() {
        return ""S? CMND: "" + idNumber
                + "". H? t?n: "" + fullName + ""."";
    }

    /**
     * addAccount.
     * @param account .
     */
    public void addAccount(Account account) {
        accountList.add(account);
    }

    /**
     * removeAccount.
     * @param account .
     */
    public void removeAccount(Account account) {
        accountList.remove(account);
    }

    /**
     * getter.
     * @return .
     */
    public long getIdNumber() {
        return idNumber;
    }

    /**
     * setter.
     * @param idNumber .
     */
    public void setIdNumber(long idNumber) {
        this.idNumber = idNumber;
    }

    /**
     * getter.
     * @return .
     */
    public String getFullName() {
        return fullName;
    }

    /**
     * setter.
     * @param fullName .
     */
    public void setFullName(String fullName) {
        this.fullName = fullName;
    }

    /**
     * getter.
     * @return .
     */
    public List<Account> getAccountList() {
        return accountList;
    }

    /**
     * setter.
     * @param accountList .
     */
    public void setAccountList(List<Account> accountList) {
        this.accountList = accountList;
    }
}
","import java.util.ArrayList;
import java.util.List;

/**
 * Created by CCNE on 03/12/2020.
 */
public class Customer {

    private long idNumber;
    private String fullName;
    private List<Account> accountList;

    /**
     * ok.
     */
    public Customer() {
        accountList = new ArrayList<>();
    }

    /**
     * ok.
     */
    public Customer(long idNumber, String fullName) {
        this.idNumber = idNumber;
        this.fullName = fullName;
        accountList = new ArrayList<>();
    }

    /**
     * ok.
     */
    public void addAccount(Account account) {
        for (Account account1 : accountList) {
            if (account1.equals(account)) {
                return;
            }
        }
        accountList.add(account);
    }

    /**
     * ok.
     */
    public void removeAccount(Account account) {
        for (Account ac : accountList) {
            if (ac.equals(account)) {
                accountList.remove(account);
                return;
            }
        }
    }


    public long getIdNumber() {
        return idNumber;
    }

    public void setIdNumber(long idNumber) {
        this.idNumber = idNumber;
    }

    public String getFullName() {
        return fullName;
    }

    public void setFullName(String fullName) {
        this.fullName = fullName;
    }

    public List<Account> getAccountList() {
        return accountList;
    }

    public void setAccountList(List<Account> accountList) {
        this.accountList = accountList;
    }

    /**
     * ok.
     */
    public String getCustomerInfo() {
        String res = ""S? CMND: "" + this.idNumber;
        res += "". H? t?n: "" + this.fullName + ""."";
        return res;
    }
}
 
",REPLACE,0.42640144,INIT_CONSTRUCT,,YES,CLASS,,,,
84084,Bank,(0-92;0-104),"import java.io.InputStream;
import java.util.ArrayList;
import java.util.Arrays;
import java.util.List;
import java.util.Comparator;
import java.util.Scanner;

/**
 * class Bank.
 */
public class Bank {
    private List<Customer> customerList = new ArrayList<>();

    /**
     * readCustomerList.
     * @param input .
     */
    public void readCustomerList(InputStream input) {
        Scanner scanner = new Scanner(input);

        while (scanner.hasNextLine()) {
            String[] words = scanner.nextLine().split("" "");

            if (words.length != 3) {
                String name = String.join("" "",
                        Arrays.copyOfRange(words, 0, words.length - 1));
                long id = Long.parseLong(words[words.length - 1]);
                customerList.add(new Customer(id, name));
            } else {

                long accountNumber = Long.parseLong(words[0]);
                String accountType = words[1];
                double accountBalance = Double.parseDouble(words[2]);

                if (accountType.equals(Account.CHECKING)) {
                    customerList.get(customerList.size() - 1)
                            .addAccount(new CheckingAccount(accountNumber, accountBalance));
                } else if (accountType.equals(Account.SAVINGS)) {
                    customerList.get(customerList.size() - 1)
                            .addAccount(new SavingsAccount(accountNumber, accountBalance));
                }
            }
        }
    }

    /**
     * getter.
     * @return .
     */
    public String getCustomersInfoByNameOrder() {
        List<Customer> nameOrder = new ArrayList<Customer>(customerList);
        nameOrder.sort(new Comparator<Customer>() {
            public int compare(Customer o1, Customer o2) {
                return o1.getFullName().compareTo(o2.getFullName());
            }
        });

        StringBuilder result = new StringBuilder();
        for (Customer customer : nameOrder) {
            result.append(customer.getCustomerInfo()).append(""n"");
        }
        return result.toString().trim();
    }

    /**
     * getter.
     * @return .
     */
    public String getCustomersInfoByIdOrder() {
        List<Customer> idOrder = new ArrayList<Customer>(customerList);
        idOrder.sort(new Comparator<Customer>() {
            @Override
            public int compare(Customer o1, Customer o2) {
                return (int) (o1.getIdNumber() - o2.getIdNumber());
            }
        });

        StringBuilder result = new StringBuilder();
        for (Customer customer : idOrder) {
            result.append(customer.getCustomerInfo()).append(""n"");
        }
        return result.toString().trim();
    }

    /**
     * getter.
     * @return .
     */
    public List<Customer> getCustomerList() {
        return customerList;
    }
}
","import java.io.InputStream;
import java.util.ArrayList;
import java.util.Comparator;
import java.util.List;
import java.util.Scanner;

/**
 * Created by CCNE on 03/12/2020.
 */
public class Bank {

    private List<Customer> customerList = new ArrayList<>();

    /**
     * ok.
     */
    public void readCustomerList(InputStream is) {
        Scanner scanner = new Scanner(is);
        Customer customer = new Customer();
        int cnt = 0;
        while (scanner.hasNext()) {
            String line = scanner.nextLine();

            if (line.charAt(0) < '0' || line.charAt(0) > '9') {
                cnt++;
                if (cnt != 1) {
                    customerList.add(customer);
                }

                int length = line.length();
                long id = Long.parseLong(line.substring(length - 9, length));

                String name = line.substring(0, length - 10);
                customer = new Customer();
                customer.setFullName(name);
                customer.setIdNumber(id);

            } else {
                String[] tokens = line.split("" "");
                long stk = Long.parseLong(tokens[0]);
                String type = tokens[1];
                double sodu = Double.parseDouble(tokens[2]);
                Account account;
                if (type.equals(""CHECKING"")) {
                    account = new CheckingAccount(stk, sodu);
                } else {
                    account = new SavingsAccount(stk, sodu);
                }
                customer.addAccount(account);
            }

        }
        customerList.add(customer);
    }

    /**
     * ok.
     */
    public String getCustomersInfoByNameOrder() {
        customerList.sort(new Comparator<Customer>() {
            @Override
            public int compare(Customer o1, Customer o2) {
                return o1.getFullName().compareTo(o2.getFullName());
            }
        });
        String res = """";
        for (Customer customer : customerList) {
            res += customer.getCustomerInfo() + 'n';
        }
        res = res.substring(0, res.length() - 1);
        return res;
    }

    /**
     * ok.
     */
    public String getCustomersInfoByIdOrder() {
        customerList.sort(new Comparator<Customer>() {
            @Override
            public int compare(Customer o1, Customer o2) {
                if (o1.getIdNumber() < o2.getIdNumber()) {
                    return -1;
                } else {
                    return 1;
                }
            }
        });
        String res = """";
        for (Customer customer : customerList) {
            res += customer.getCustomerInfo() + 'n';
        }
        res = res.substring(0, res.length() - 1);
        return res;
    }

    /**
     * ok.
     */
    public List<Customer> getCustomerList() {
        return customerList;
    }

}
 
",REPLACE,0.42640144,REPLACE_CODE,,,,,,,
83779,Bank,(24-27;24-24),"            if (line.charAt(0) < '0' || line.charAt(0) > '9') {
                int length = line.length();
                long id = Long.parseLong(line.substring(length - 9, length));
                String name = line.substring(0, length - 10);
","            if (line.charAt(0) < '0' || line.charAt(0) > '9') {
",DELETE,0.42640144,DELETE,,YES,,,,,
83779,Bank,(31-31;28-33),"                }
","                }

                int length = line.length();
                long id = Long.parseLong(line.substring(length - 9, length));

                String name = line.substring(0, length - 10);
",INSERT,0.42640144,INSERT_CODE,,YES,,,,,
83779,Bank,(36-37;38-39),"            } else {
                String tokens [] = line.split("" "");
","            } else {
                String[] tokens = line.split("" "");
",REPLACE,0.42640144,,,NO,,,,,
83778,Customer,(32-34;32-34),"    public void addAccount(Account account) {
        for(Account account1: accountList){
            if(account1.equals(account)) {
","    public void addAccount(Account account) {
        for (Account account1 : accountList) {
            if (account1.equals(account)) {
",REPLACE,0.42640144,,,NO,,,,,
83778,Bank,(33-34;35-36),"                customer.setFullName(name);
                customer.setIdNumber(cmnd);
","                customer.setFullName(name);
                customer.setIdNumber(id);
",REPLACE,0.42640144,REPLACE_VAR,,NO,CLASS,,,,
83778,Bank,(36-38;38-40),"            } else {
                String tokens[] = line.split("" "");
                long STK = Long.parseLong(tokens[0]);
","            } else {
                String[] tokens = line.split("" "");
                long stk = Long.parseLong(tokens[0]);
",REPLACE,0.42640144,,,NO,,,,,
83778,Bank,(42-43;44-45),"                if (type.equals(""CHECKING"")) {
                    account = new CheckingAccount(STK, sodu);
","                if (type.equals(""CHECKING"")) {
                    account = new CheckingAccount(stk, sodu);
",REPLACE,0.42640144,,,NO,,,,,
83778,Bank,(44-45;46-47),"                } else {
                    account = new SavingsAccount(STK, sodu);
","                } else {
                    account = new SavingsAccount(stk, sodu);
",REPLACE,0.42640144,,,NO,,,,,
83778,Bank,(82-82;82-84),"                    return -1;
","                    return -1;
                } else {
                    return 1;
",INSERT,null,,,NO,,,,,
84071,Customer,(11-11;5-7),"    private List<Account> accountList = new ArrayList<>();
","    private List<Account> accountList = new ArrayList<>();
    private String fullName = """";
    private long idNumber;
",INSERT,0.2236068,INSERT_VAR,,YES,,,,,
84071,Customer,(25-65;17-17),"        this.fullName = fullName;
    }

    /**
     * getter.
     * @return .
     */
    public String getCustomerInfo() {
        return ""S? CMND: "" + idNumber
                + "". H? t?n: "" + fullName + ""."";
    }

    /**
     * addAccount.
     * @param account .
     */
    public void addAccount(Account account) {
        accountList.add(account);
    }

    /**
     * removeAccount.
     * @param account .
     */
    public void removeAccount(Account account) {
        accountList.remove(account);
    }

    /**
     * getter.
     * @return .
     */
    public long getIdNumber() {
        return idNumber;
    }

    /**
     * setter.
     * @param idNumber .
     */
    public void setIdNumber(long idNumber) {
","        this.fullName = fullName;
",DELETE,0.42640144,DELETE,,YES,,,,,
84071,Bank,(0-0;0-4),,"import java.io.BufferedReader;
import java.io.FileInputStream;
import java.io.FileNotFoundException;
import java.io.IOException;
",INSERT,0.42640144,,,NO,,,,,
84071,Bank,(1-1;5-6),"import java.io.InputStream;
","import java.io.InputStream;
import java.io.InputStreamReader;
",INSERT,0.42640144,,,NO,,,,,
84071,Bank,(18-20;15-23),"     */
    public void readCustomerList(InputStream input) {
        Scanner scanner = new Scanner(input);
","     */
    public boolean isNumber(String s) {
        for (int i = 0; i < s.length(); ++i) {
            if (s.charAt(i) > '9' || s.charAt(i) < '0') {
                return false;
            }
        }
        return true;
    }
",REPLACE,0.42640144,,,NO,,,,,
84071,Bank,(21-23;24-61),"
        while (scanner.hasNextLine()) {
            String[] words = scanner.nextLine().split("" "");
","
    /**
     * Javadoc.
     */
    public void readCustomerList(InputStream inputStream) {
        InputStreamReader inputStreamReader = new InputStreamReader(inputStream);
        BufferedReader reader = new BufferedReader(inputStreamReader);
        String line = """";
        Customer customer = new Customer();
        while (true) {
            try {
                if (((line = reader.readLine()) != null)) {
                    String[] ss = line.split("" "");
                    if (isNumber(ss[0])) {
                        if (ss[1].equals(""CHECKING"")) {
                            Account account = new CheckingAccount(Long.parseLong(ss[0]),
                                    Double.parseDouble(ss[2]));
                            customer.addAccount(account);
                        } else {
                            Account account = new SavingsAccount(Long.parseLong(ss[0]),
                                    Double.parseDouble(ss[2]));
                            customer.addAccount(account);
                        }
                    } else {
                        String name = """";
                        for (int i = 0; i < ss.length - 2; ++i) {
                            name = name + ss[i] + "" "";
                        }
                        name += ss[ss.length - 2];
                        customer = new Customer(name, Long.parseLong(ss[ss.length - 1]));
                        customerList.add(customer);
                    }
                } else {
                    break;
                }
            } catch (IOException e) {
                e.printStackTrace();
            }
",REPLACE,0.42640144,,,NO,,,,,
84071,Bank,(24-30;62-64),"
            if (words.length != 3) {
                String name = String.join("" "",
                        Arrays.copyOfRange(words, 0, words.length - 1));
                long id = Long.parseLong(words[words.length - 1]);
                customerList.add(new Customer(id, name));
            } else {
","
        }
    }
",REPLACE,0.42640144,,,NO,,,,,
84071,Bank,(31-34;65-68),"
                long accountNumber = Long.parseLong(words[0]);
                String accountType = words[1];
                double accountBalance = Double.parseDouble(words[2]);
","
    public List<Customer> getCustomerList() {
        return customerList;
    }
",REPLACE,0.42640144,,,NO,,,,,
84071,Bank,(35-41;69-79),"
                if (accountType.equals(Account.CHECKING)) {
                    customerList.get(customerList.size() - 1)
                            .addAccount(new CheckingAccount(accountNumber, accountBalance));
                } else if (accountType.equals(Account.SAVINGS)){
                    customerList.get(customerList.size() - 1)
                            .addAccount(new SavingsAccount(accountNumber, accountBalance));
","
    /**
     * Javadoc.
     */
    public String getCustomersInfoByIdOrder() {
        for (int i = 0; i < customerList.size(); ++i) {
            for (int j = i + 1; j < customerList.size(); ++j) {
                if (customerList.get(i).getIdNumber() > customerList.get(j).getIdNumber()) {
                    Customer swap = customerList.get(i);
                    customerList.set(i, customerList.get(j));
                    customerList.set(j, swap);
",REPLACE,0.42640144,,,NO,,,,,
84071,Bank,(44-44;82-90),"        }
","        }
        String result = """";
        for (int i = 0; i < customerList.size(); ++i) {
            result = result + customerList.get(i).getCustomerInfo();
            if (i != customerList.size() - 1) {
                result += ""n"";
            }
        }
        return result;
",INSERT,0.42640144,,,NO,,,,,
84071,Bank,(51-55;96-104),"    public String getCustomersInfoByNameOrder() {
        List<Customer> nameOrder = new ArrayList<Customer>(customerList);
        nameOrder.sort(new Comparator<Customer>() {
            public int compare(Customer o1, Customer o2) {
                return o1.getFullName().compareTo(o2.getFullName());
","    public String getCustomersInfoByNameOrder() {
        for (int i = 0; i < customerList.size(); ++i) {
            for (int j = i + 1; j < customerList.size(); ++j) {
                if (customerList.get(i).getFullName()
                        .compareTo(customerList.get(j).getFullName()) > 0) {
                    Customer swap = customerList.get(i);
                    customerList.set(i, customerList.get(j));
                    customerList.set(j, swap);
                }
",REPLACE,0.42640144,REPLACE_CODE,,NO,,,,,
84071,Bank,(56-61;105-105),"            }
        });

        StringBuilder result = new StringBuilder();
        for (Customer customer : nameOrder) {
            result.append(customer.getCustomerInfo()).append(""n"");
","            }
",DELETE,0.42640144,DELETE,,NO,,,,,
84071,Bank,(62-75;106-111),"        }
        return result.toString().trim();
    }

    /**
     * getter.
     * @return .
     */
    public String getCustomersInfoByIdOrder() {
        List<Customer> idOrder = new ArrayList<Customer>(customerList);
        idOrder.sort(new Comparator<Customer>() {
            @Override
            public int compare(Customer o1, Customer o2) {
                return (int) (o1.getIdNumber() - o2.getIdNumber());
","        }
        String result = """";
        for (int i = 0; i < customerList.size(); ++i) {
            result = result + customerList.get(i).getCustomerInfo();
            if (i != customerList.size() - 1) {
                result += ""n"";
",REPLACE,0.42640144,,,NO,,,,,
